fighter_id,full_name,age,weight_class,fighter_stance,total_fights,wins,losses,avg_total_str_att,avg_sig_str_att,avg_strike_acc,avg_td_att,avg_td_off_pct,avg_td_def_pct,avg_sub_att,avg_str_abs_pct,ko_wins,ko_losses,sub_wins,sub_losses,fighting_style
3029.0,Kalindra Faria,38.0,Women's Flyweight,Switch,3,0,3,43.0,30.333333333333332,0.43585434173669463,1.0,0.75,0.125,0.3333333333333333,0.7775847218509608,0,0,0,0,Wrestler
3031.0,Brodie Farber,44.0,Catch Weight,Orthodox,2,0,2,32.5,30.5,0.4536637931034483,1.0,0.5,0.19999999999999996,0.5,0.4960758665794637,0,1,0,0,Wrestler
3033.0,Maiquel Falcao,44.0,Middleweight,Orthodox,1,1,0,77.0,45.0,0.5555555555555556,1.0,1.0,0.7142857142857143,3.0,0.13114754098360656,0,0,0,0,Wrestler
3034.0,Rinat Fakhretdinov,33.0,Welterweight,Orthodox,3,3,0,98.66666666666667,48.666666666666664,0.6723722275795564,6.333333333333333,0.6388888888888888,1.0,0.3333333333333333,0.5695665445665447,0,0,0,0,Wrestler
3035.0,Zarah Fairn,41.0,Women's Featherweight,Orthodox,4,0,4,147.25,135.75,0.3702500807580489,0.5,0.0,0.6666666666666666,0.0,0.6069966650323793,0,1,0,0,Mixed
3036.0,Jason Fairn,,Open Weight,,1,0,1,15.0,12.0,0.75,0.0,,0.0,0.0,0.6764705882352942,0,1,0,0,Boxer
3038.0,Bartosz Fabinski,39.0,Middleweight,Orthodox,6,3,3,64.16666666666667,27.666666666666668,0.5717192791485245,5.666666666666667,0.7242424242424242,0.5,0.0,0.746044270930613,0,0,0,0,Wrestler
3040.0,Melinda Fabian,37.0,Women's Flyweight,Orthodox,1,0,1,180.0,173.0,0.4161849710982659,1.0,0.0,,0.0,0.3563218390804598,0,0,0,0,Mixed
3041.0,Urijah Faber,45.0,Bantamweight,Orthodox,18,11,7,109.55555555555556,94.33333333333333,0.463758144337761,5.111111111111111,0.286604020979021,0.43791208791208797,0.5,0.42303955950995653,1,2,0,0,Mixed
3042.0,Edward Faaloloto,40.0,Lightweight,Orthodox,2,0,2,25.0,23.0,0.19767441860465115,0.0,,0.0,0.0,0.61,0,1,0,0,Mixed
3043.0,Jessica Eye,38.0,Women's Flyweight,Orthodox,15,5,10,165.86666666666667,145.26666666666668,0.40025859951432324,1.4666666666666666,0.4270833333333333,0.5492857142857143,0.4666666666666667,0.5494321845349405,1,1,0,0,Mixed
3045.0,Andre Ewell,37.0,Bantamweight,Southpaw,9,4,5,155.0,149.88888888888889,0.38836089111867295,0.4444444444444444,0.75,0.675,0.1111111111111111,0.5314772235043609,0,2,0,0,Mixed
3046.0,Movsar Evloev,31.0,Featherweight,Orthodox,7,7,0,216.42857142857142,139.85714285714286,0.518676467308537,9.285714285714286,0.5837287712287712,0.8400000000000001,0.2857142857142857,0.4540975919212277,0,0,0,0,Wrestler
3047.0,Tonya Evinger,43.0,Women's Bantamweight,Orthodox,3,0,3,64.0,37.333333333333336,0.4948083778966132,3.0,0.16666666666666666,0.75,0.0,0.6858228097868982,0,2,0,0,Mixed
3048.0,Dan Evensen,50.0,Heavyweight,Orthodox,2,0,2,10.0,9.5,0.1111111111111111,0.5,0.0,0.0,1.0,0.6107692307692307,0,2,0,0,Mixed
3049.0,Ashlee Evans-Smith,37.0,Women's Bantamweight,Orthodox,9,3,6,159.44444444444446,145.44444444444446,0.38098038663435685,3.4444444444444446,0.23125,0.5904761904761905,0.0,0.5514698525438503,1,0,0,0,Mixed
3050.0,Doug Evans,44.0,Lightweight,Orthodox,2,0,2,84.5,58.5,0.3627450980392157,3.0,0.9,0.7941176470588236,0.5,0.6175831341012823,0,1,0,0,Wrestler
3051.0,Rashad Evans,45.0,Light Heavyweight,Orthodox,22,14,8,85.72727272727273,71.4090909090909,0.3863493092319454,5.2727272727272725,0.439795008912656,0.6984126984126985,0.0,0.44619937932070464,6,3,0,0,Mixed
3053.0,Sijara Eubanks,40.0,Women's Bantamweight,Orthodox,10,5,5,156.4,133.7,0.4390715790450379,3.8,0.45285714285714285,0.7333333333333333,0.3,0.5576542159915909,1,1,0,0,Mixed
3055.0,Fred Ettish,,Open Weight,Southpaw,1,0,1,11.0,7.0,0.5714285714285714,0.0,,,0.0,0.5526315789473685,0,0,0,0,Boxer
3056.0,Terry Etim,39.0,Lightweight,Orthodox,11,6,5,61.27272727272727,58.09090909090909,0.43110248909526305,0.9090909090909091,0.3333333333333333,0.3851851851851852,0.9090909090909091,0.5172162268055595,1,1,0,0,Mixed
3060.0,Jodie Esquibel,38.0,Women's Strawweight,Orthodox,4,0,4,203.0,196.0,0.33143635639538027,3.5,0.09375,0.625,0.0,0.526821538910556,0,0,0,0,Mixed
3061.0,Jordan Espinosa,35.0,Flyweight,Orthodox,6,2,4,95.83333333333333,82.66666666666667,0.4907535985313763,1.3333333333333333,0.25,0.6071428571428572,0.0,0.47009965247040236,0,0,0,0,Mixed
3062.0,Juan Espino,44.0,Heavyweight,Orthodox,3,2,1,45.666666666666664,20.666666666666668,0.6967371929008758,4.666666666666667,0.8380952380952381,0.5,1.0,0.5276828434723172,0,0,0,0,Wrestler
3063.0,Carla Esparza,37.0,Women's Strawweight,Orthodox,15,10,5,139.4,74.93333333333334,0.4401510143025125,8.533333333333333,0.39261324731912967,0.5477272727272727,0.26666666666666666,0.5615380435260418,1,2,0,0,Mixed
3065.0,Efrain Escudero,39.0,Lightweight,Orthodox,12,5,7,114.91666666666667,80.83333333333333,0.4785069836521998,2.6666666666666665,0.3670634920634921,0.707716049382716,0.6666666666666666,0.44356026579858127,1,0,0,0,Mixed
3066.0,Cole Escovedo,43.0,Bantamweight,Orthodox,3,0,3,67.66666666666667,58.0,0.476191466860838,1.6666666666666667,0.25,0.07142857142857145,0.0,0.6257449557439703,0,1,0,0,Mixed
3072.0,Jarno Errens,30.0,Featherweight,Orthodox,2,0,2,76.0,64.5,0.38604766633565046,3.0,0.0,0.2,0.5,0.5867999445957801,0,0,0,0,Mixed
3073.0,Julian Erosa,35.0,Featherweight,Southpaw,13,6,7,120.46153846153847,107.07692307692308,0.5061642974735812,2.076923076923077,0.5,0.5511363636363636,0.38461538461538464,0.5711357886980566,1,6,0,0,Wrestler
3074.0,Konstantin Erokhin,42.0,Heavyweight,Orthodox,2,0,2,54.0,43.5,0.38316993464052285,0.0,,0.7032967032967032,0.0,0.648729531338227,0,0,0,0,Mixed
3076.0,Steve Erceg,29.0,Flyweight,Orthodox,1,1,0,142.0,140.0,0.38571428571428573,4.0,0.75,0.6666666666666667,1.0,0.47863247863247865,0,0,0,0,Wrestler
3079.0,Andy Enz,33.0,Middleweight,Orthodox,3,0,3,164.0,160.66666666666666,0.17526235530602344,0.3333333333333333,0.0,0.5,0.0,0.46443463975044724,0,1,0,0,Mixed
